标题,总播放量,积累弹幕,时间,点赞,投币,收藏,转发,作者,关注量
荒谬当道，爱拯救之。恰海边塞壬上岸爱神降临，四万人皆为他唯美心碎【张真源 爱的消亡史】,49149,4119,2023/5/2 22:26,8741,7230,1.5万,1.3万,张真源的松果仓库, 10.5万
大便超人 居然还能找到这坨东西【小游戏回忆录#66】,829374,1452,2023/4/30 9:24,3.2万,2181,9171,1.5万,理屈词穷方渐鸿,958
?.ιαιιιооιαιιΟ,712563,494,2023/4/27 12:00,3.0万,2852,1.0万,2221,一夕Clarence,多名up主参与
《青春修炼手册》，但是谷歌翻译20次,532165,1844,2023/5/1 17:00,2.6万,2122,5815,4951,玛珂娜, 22.0万
《如何快速变老》：给所有人的科学变老指南,864449,343,2023/5/3 11:00,3.3万,8860,9737,6868,哔哩哔哩弹幕网,多名up主参与
今年的衣服真的丑爆了！！！！｜网红爆款辣妹吊带测评,246963,1950,2023/5/2 19:51,1.1万,937,1424,486,扒妹儿无聊的朋友们, 41.0万
“不只是传统3.0”，惊艳了世界，却埋没在故乡。,151813,159,2023/5/2 13:05,2.6万,5069,3360,169,美南子哇, 10.9万
05高三牲也有drill吗？《低端玩家》,206774,101,2023/5/1 14:26,3.4万,2158,4164,688,李浩鹏差点长成帅哥, 1.3万
??我爸就是GGBond??,493872,2459,2023/5/1 12:42,2.6万,1190,7016,1031,超能幻想家,4464
一道让老师“脊背发凉”的题，简直就是在为难学生…无语,1229720,4058,2023/5/1 13:05,9.3万,3184,9274,3320,侃哥侃英语, 135.0万
我，辛稼轩，大宋词龙，人间这一趟，万分遗憾,871894,2938,2023/4/29 8:00,6.7万,4.7万,4.1万,6900,东兴苟十三, 74.7万
琛总5A整活！历史最炸！竖屏全程版,406825,390,2023/4/30 17:42,3.9万,2497,2962,3725,o旋风扫落叶o,258
电子竞技啊 全是爱情,553967,452,2023/5/2 20:00,8.8万,1684,4431,1212,碎嘴企鹅, 215.2万
保  护  砂  隐  村,6459093,4950,2023/4/28 16:29,42.3万,6.1万,6.7万,9.7万,声物课, 246.6万
热知识！原来淄博的“烧烤”其实指的是两种东西！,717690,1557,2023/5/2 18:54,10.6万,3.2万,9610,737,南翔不爱吃饭, 321.0万
【钟馗驭鬼】蜡烛熄灭，老妪在灰烬中看到了她一直想要寻找的钟馗。,309793,98,2023/5/2 12:24,6.5万,2873,8668,260,我是鹿溟山, 43.1万
【星穹铁道】《踏上旅途》太短不够听？让我来扩写！！,996466,637,2023/4/28 19:50,9.1万,5.2万,5.8万,1.1万,黑铱BlackIris, 10.9万
你 好 开 拓 者 . E X E,280464,381,2023/5/1 16:09,3.6万,1360,5549,1086,Monthly_flow, 4.3万
公测130万星琼冲击全角色满命满精，这下又再创历史了,1867742,6538,2023/4/27 21:27,18.3万,2.0万,1.3万,1.1万,鬼叔黍, 131.6万
好奇害死猫，又哭了,1242626,71,2023/5/1 18:00,18.0万,5230,1.9万,1.3万,广州禁毒, 51.6万
【Phigros特效谱】アイドル（偶像）- YOASOBI | 故事板 + shader警告,273318,376,2023/5/1 16:42,3.1万,8400,1.5万,2228,Kevin_2106,1252
飞机：我从来没排过那么长的队！,442062,474,2023/5/2 12:18,1.5万,1768,2627,3622,可以推出开车, 5.2万
我花了5块钱制作出了价值上千的鱼子酱，你们信吗？,2420089,1302,2023/4/30 16:41,19.3万,2356,1.9万,2322,大伟投食记官方账号, 46.4万
肯德基：我就是被这破玩意卷倒闭的,953039,1470,2023/4/30 18:00,5.1万,1.0万,8905,1322,麟宣森, 230.6万
[4K]广州漫展上拍妹子，路过一群假面骑士！,1002146,448,2023/4/29 10:41,6.0万,1340,1.6万,1412,小朱霍克酱, 2.9万
【直播唱跳】YOASOBI アイドル / 偶像 （我推的孩子OP）,95906,177,2023/5/3 12:13,7437,2145,1238,2176,永雏塔菲, 74.2万
全网最详细！爆肝6个月，原剧+小说深度解析！让你一次看爽《权力的游戏》1-8季,1133450,19349,2023/4/30 18:00,6.9万,4.2万,6.8万,3848,阿斗归来了, 570.7万
一年一次吃一个月的笋宴！异灵术直言要这么做的话，他能全吃光！,66711,891,2023/5/3 11:00,9301,7711,1062,245,牢头养猪记, 23.3万
假期自救视频――在学校是个卷王，回到家就开始摆烂，怎么办！？,253675,989,2023/4/28 18:27,2.1万,2811,1.6万,1307,高考蓝哥, 20.7万
666！溜一溜就能筛出好豆子,1589428,112,2023/5/2 10:57,7.4万,1039,3489,221,不刷题的吴姥姥, 138.3万
寒冬将至！深度解析《漫长的季节》背后的时代寓言,249698,1085,2023/5/2 8:06,1.4万,8549,4012,1646,斑鸠鸭, 9.6万
佩奇小妙招――危机自救#02,543500,316,2023/5/1 15:30,4.2万,1390,5202,451,允星河Yoseya, 290.4万
泰 裤 鸡 克 号,977009,1447,2023/4/30 9:00,5.7万,1.0万,1.5万,2.3万,null,多名up主参与
null,null,null,null,null,null,null,null,null,多名up主参与
敢爱敢恨的小学生,424065,845,2023/5/2 15:56,5.0万,1.0万,3281,1192,叫我死盖就好, 196.6万
当我又在漫展大声喊出羞耻横幅,400832,1371,2023/5/2 20:35,5.2万,3193,8281,5700,张恩恩NNN, 41.5万
”中式恐怖的压迫感“,950473,205,2023/5/1 17:48,8.9万,2397,1.2万,3241,皮诺曹的魔法画室, 8.7万
实测丨在6大平台搜同样的问题，百度居然被吊打？,1173473,11921,2023/5/1 12:00,11.3万,3.3万,2.1万,4070,-LKs-, 312.7万
【星穹铁道】光锥伤害排行榜，解决你光锥选择问题【巡猎篇】,356336,566,2023/5/3 10:53,1.4万,5207,4471,1492,泡椒_泡椒, 2.1万
mhy你要不要看看你设计的什么怪物（bushi）,970501,816,2023/5/1 3:40,7.4万,1573,6664,1.5万,lingfengn,673
白术一脉都是美人啊，祖师爷长得太好看了吧,391017,229,2023/5/3 6:20,7.5万,1297,1.7万,2950,小鱼点点点丶, 11.9万
今天秋山20岁生日，开心，给大家露脸解说一段，希望大家开心.,278530,1028,2023/5/2 11:56,3.0万,2895,1821,68,秋山官方账号, 121.5万
关于我家猫去别的小猫家做客这件事,771318,847,2023/5/1 20:50,3.6万,2386,3424,1948,王天霸是只猫, 41.4万
全体起立跳舞啦 这也太秀了吧,1973609,244,2023/4/28 12:14,9.4万,1079,9545,656,舞者HR浩然, 5.2万
80秒看完过往20年服饰变化｜2003～2023｜淘宝陪你好看20年,835429,712,2023/5/2 10:00,5.1万,2766,1.1万,1966,o小庄o,多名up主参与
【果粉震惊】花了5854元对比真假苹果AirPods，我沉默了！,195868,2452,2023/5/2 11:45,1.4万,8356,1609,653,热男HotGuys, 83.8万
《 富 婆 的 早 餐 》,418203,423,2023/5/1 11:44,1.7万,536,700,111,小唐不方呀, 10.3万
残障up主吐槽轮椅难进商场：石墩子拦路，无障碍通道狭窄危险,724113,324,2023/5/2 10:36,3.9万,687,1254,203,青蜂侠-Bee, 47.5万
美国第一共和银行倒闭，被接管后低价卖给摩根大通,334936,744,2023/5/2 13:01,2.0万,1947,1631,861,星话大白, 41.5万
人菜瘾还大？三个月没抽赏，感觉自己又行了,245941,1904,2023/5/2 20:36,2.4万,1.9万,3310,519,炒蛋车间长, 65.8万
多年老师傅做的香辣鸡腿汉堡，一份5块钱值不值？,703184,353,2023/5/1 20:12,3.5万,733,2605,735,涡阳施玉, 5.4万
【我的幽灵女友官方】#07 为什么家里还有别人！,239823,60,2023/5/2 12:35,4.2万,1121,3387,176,dsand00, 14.6万
超 人 强 我 要 逆 天 ！,506377,770,2023/5/2 14:52,3.8万,6537,1.6万,3646,无趣的夜空, 2.8万
可爱捏~happy猫玩具来了！真的泰裤辣！,1322394,1255,2023/4/30 12:50,14.2万,2.0万,2.4万,1.0万,机智的Kason, 133.1万
这三转四折的爱情啊,1260563,2009,2023/5/1 12:00,12.2万,9762,5094,3330,真子日记, 147.8万
我第一次穿汉服坐他旁边 他竟然跑了......,1050647,1213,2023/5/1 18:00,20.3万,1.2万,2.0万,8336,AriaAndBrandon, 106.4万
加拿大人家里水龙头是真的流牛奶啊，补钙管饱还省钱,2154672,2091,2023/4/30 12:17,19.9万,2099,1.0万,3476,行走的大大大羊腿, 62.0万
梗上长游戏？能玩的动画剧？星穹铁道真的好玩吗？【星铁考据鉴赏】,594882,4325,2023/5/1 16:54,6.6万,2.0万,1.3万,5343,Muc虚空之翼, 77.5万
不太懂音游 请问我弟这是什么水平？,853984,979,2023/4/29 21:17,7.9万,1090,4962,3276,江若泽_,427
“我又回到了梦”,740638,741,2023/4/30 17:47,10.0万,1.9万,1.7万,184,SHIZ狮仔, 2.0万
这小子回来了！燃命之术从现江湖了？,335875,1106,2023/5/2 16:13,2.1万,3145,1394,329,陈大白, 122.5万
姬子老师:开拓者家长们，路上有点堵车，这节挖呀挖呀挖课来晚了,317169,516,2023/5/2 1:24,4.6万,923,9440,4554,动漫跳舞姬, 9.5万
【国外跑步尬聊】俄罗斯小姐姐我是真心动了！,1263157,2904,2023/4/30 18:05,3.2万,3371,9157,1914,猛男自我修养, 33.1万
苏感爆棚的男人来了！生野！生涩！生狠！不会说话，但眼里全是台词！,562935,828,2023/5/1 1:59,3.1万,6078,1.4万,7388,瓶子里的大鲸鱼,454
氢氟酸溶尸，老白再添杀孽！《绝命毒师》第2期解读，启程阿尔伯克基（含彩蛋、色彩、音乐解析）【墨菲】,221694,1879,2023/5/2 23:36,2.5万,2.3万,4954,358,绝命墨菲, 72.3万
感受到了培育蔬菜这件事的重要性,2038533,5163,2023/4/29 20:27,22.7万,1.0万,1.4万,4909,张圣叹Yo, 133.2万
机器人外骨骼套装初体验！,1253047,806,2023/4/29 17:05,9.1万,2208,1.0万,4672,超跑爱丽丝Super, 35.6万
《凄美地》聚会随唱版,196911,49,2023/5/2 9:49,1.8万,1750,3097,402,我只吃晚饭Mia, 19.0万
秦始皇陵最新发现：2023年4月，历时14年的‘秦陵兵马俑一号坑第三次考古发掘’阶段性成果对外公布，这回，我们又挖出哪些秘密？|自说自话的总裁,1239165,6383,2023/5/1 12:00,4.0万,6401,9324,2225,自说自话的总裁, 169.0万
三十多年洗脸心得，千万不要这样蹂躏你的脸,176808,153,2023/5/3 1:39,2.5万,1507,2095,373,指法芬芳张大仙, 693.5万
巴基真的能成为海贼王？十字公会还会有战力加入！深度解析红发与罗杰的意志传承，海贼王1082话细节伏笔分析！,332800,1232,2023/5/2 19:22,1.9万,3015,1015,381,动漫作业本, 125.8万
十年前1.8万买的钻戒，如今只能卖180元，贬值99%,866643,5667,2023/4/28 19:30,3.6万,5813,1.5万,1.9万,远方的青木, 17.1万
?被这发癫的超人强笑死哈哈哈哈?,795842,1655,2023/5/1 23:09,8.6万,9643,3.5万,6852,天气温云, 20.1万
假如剧情跟着弹幕走！,1097677,142,2023/4/30 17:16,9.5万,627,4978,647,是个维维啊, 93.7万
家人们！好声音后续来了！,1985599,2039,2023/5/1 15:01,26.4万,1.1万,1.3万,1770,李炮炮儿, 32.0万
【WLOP】DressingRoom3-风曳【鬼刀】【绘画】,167248,89,2023/5/3 11:18,1.8万,2554,2658,257,wlop-, 273.6万
什么是恋爱的正反馈？,521158,201,2023/5/2 17:30,2.6万,2161,4170,2527,神经酋长, 44.6万
开拓等级42，均衡3级！魔爪喝不动了，这把养生局！,618764,719,2023/5/1 17:05,7.3万,1002,2596,2251,韵哥解说, 9.9万
怎么会有这么吓人的小孩！宝藏游戏《孩子街9号》实况 自制中文翻译,203821,2600,2023/5/2 16:11,2.1万,6866,4839,496,渗透之C君, 567.0万
甲壳虫直播被打的抱头痛哭！,264691,407,2023/5/2 18:31,1.4万,4630,897,284,王者剑圣甲壳虫, 44.3万
这是什么逆天新手啊！！,3488331,485,2023/5/1 9:25,15.7万,3487,3.1万,359,FoFTG, 219.4万
三月七:你什么意思！〖白白剧场〗,555138,857,2023/5/1 17:00,5.5万,8143,1.6万,1644,爱抽卡的白熊, 16.8万
能不能买？便宜超大碗，7款500元价位2TB的PCIE4.0固态硬盘横评测试,258167,1242,2023/5/3 7:57,1.5万,7557,3451,1367,喵喵折App, 164.8万
【m|D良 竖版直拍】荒野牛仔女郎 UNFORGIVEN (SAKURA FanCam) | 230501 LE SSERAFIM COMEBACK SHOW,378597,1726,2023/5/1 22:35,5.3万,6212,1.1万,1889,m|D良映像集, 8.6万
在菜市场收获两根牛蹄，做了道“川式香辣牛蹄煲”，西班牙大厨直接看呆了！,469606,346,2023/5/1 19:00,4.6万,615,1272,61,西班牙陈挺, 68.5万
【ZB1】Ricky&金地雄-Feels with rose,170147,937,2023/5/2 18:08,1.9万,1355,4815,2723,ZB1_ZEROBASEONE, 15.6万
宇哥哽咽，还是心疼去年考研的同学,516946,528,2023/5/2 19:00,1.4万,3164,3246,1551,启航教育官方, 3.9万
不是里程最长的，但确实是最惨的一双飞电2challenger,2136412,199,2023/4/29 17:52,6.3万,1072,2304,166,老张的鞋Deron, 4.9万
9.5分封神收官！解说《漫长的季节》大结局！10-12集,771953,4495,2023/5/2 0:29,2.2万,5741,3344,1274,我是一只粽子啊, 82.4万
一个视频看懂王莽的一生,1235843,14765,2023/4/29 19:57,9.3万,9.9万,5.0万,4239,唠点历史, 88.0万
可恶，这绝对是幻术！,1855503,121,2023/4/29 20:06,10.3万,1401,7234,115,魔术特白, 37.5万
香港歌手试国产车，会有什么评价？,545614,2490,2023/5/2 11:00,2.8万,8808,2315,1379,极速拍档, 238.8万
切个菜，哥哥姐姐,436772,348,2023/4/30 18:05,5.4万,793,4726,4439,成都AG超玩会阿楠, 1.4万
【搞笑翻唱】“摆又摆不烂，卷又卷不赢”『当代年轻人现状』,260905,100,2023/5/2 11:00,4.6万,7879,8561,3515,穆小泠Official, 58.8万
惊呆了！当代年轻人都流行这些？！,1402243,1130,2023/4/30 18:00,15.7万,2204,1.5万,4565,网不红萌叔Joey, 355.9万
好 我自己来说这里有模仿 有创新 希望同学们和平相处黄老师要开挖了只为了你们开心各位同学们五一快乐,761008,825,2023/4/28 15:58,4.9万,6776,9051,1.1万,音乐老师花开富贵, 6.6万
世界本破破烂烂，但总有人缝缝补补~,494149,180,2023/4/29 1:19,6.1万,7377,6204,186,思念资迅,2250
方块竞速 但游戏体验「天差地别」？！,389264,2433,2023/5/3 8:00,4.9万,9254,4539,220,大炒面制造者Cen,多名up主参与
十八星神派系详解！黑塔雅利洛仙舟三大地图历史梳理！ 崩坏星穹铁道剧情解读分析 四万字解析世界观核心设定,341196,5206,2023/5/1 12:00,5.6万,6.2万,3.2万,4286,醋里有毒, 3.8万
不要轻易值夜班！会发生的怪事很多！,934514,4435,2023/5/1 11:15,6.7万,1.7万,1.3万,708,与山0v0, 316.4万
打我一下试试！无限火力这个组合超火爆。赶快玩！,1270946,347,2023/5/1 13:46,6.3万,2126,6232,1.8万,无月泽拉斯, 14.9万
可可利亚BOSS战《野火》激燃翻唱【崩坏：星穹铁道】,310133,244,2023/5/1 21:20,4.0万,4947,6323,676,KBShinya, 192.9万
以神之名｜解构毒虫李莎拉的精神世界,397572,436,2023/5/1 17:22,3.5万,2499,5641,474,平原小狐, 1.6万
【高能】你们技术型二刺猿不要太离谱！！！,259946,284,2023/5/2 10:00,1.5万,3220,1396,3012,在下淘子, 11.0万
妍珍呐，久等了！一口气看完复仇爽剧《黑暗荣耀》两季 怒肝5000帧！,642283,471,2023/4/30 18:16,7.3万,1.1万,1.4万,6265,惊奇动物园oopspark, 7.2万
【aespa】aespa《I'm Unhappy》Track Video,360779,1947,2023/5/2 23:00,3.2万,1.3万,8541,6818,aespa, 73.3万
【原神HoYoFair】【狄龙顾】「先驱：将军幕」  完整版,249020,983,2023/5/2 17:00,3.0万,1.9万,1.7万,3597,狄龙顾, 6.9万
假如你有一个早餐机,684019,2085,2023/5/1 19:17,5.9万,4898,4749,979,神奇海挪, 187.9万
久咳不愈可能是哮喘？70%哮喘患者控制不佳，只因大家误区太多了！【医生聊天室】,194675,1787,2023/5/2 18:00,1.8万,9058,2873,3142,大物是也, 101.6万
古代皇帝被权臣架空为什么不用圣旨杀了他,583161,576,2023/5/2 17:00,3.1万,1275,3529,217,许右史, 52.9万
“在遇见我娘子之后，被揪耳朵和衣领便是家常便饭。”【云襄传｜陈晓X毛晓彤】,361652,1313,2023/5/2 0:06,1.2万,1872,3100,1567,墨赴长安,8226
大明辛吉飞,255421,105,2023/5/2 8:10,2.2万,570,3248,953,咆哮的OneFan, 14.8万
阿尔法boss一出，阁下该如何应对,1238007,134,2023/5/2 17:01,9.6万,571,2727,127,疯狂大笑总, 115.1万
读评论有啥意思？我直接表演个吃小猫！,259546,949,2023/5/2 21:05,3.9万,3412,5404,176,江鸽北主任, 124.0万
海外大牌青睐的中国非遗手艺，在国内有多大落差？,627217,1979,2023/5/1 17:00,9.6万,3.7万,6993,572,敬汉卿, 955.2万
跟李荔枝（教官）一起旅游（军训）,273241,203,2023/5/2 11:20,1.4万,605,812,1518,王蓝莓同学, 95.0万
白露：非要指望生存位吗？,1916521,739,2023/4/29 17:23,10.7万,708,5313,6972,且让天下一先,327
150秒一镜到底，看王者全英雄走秀！,447838,2165,2023/5/1 17:55,2.4万,1844,3773,2930,王者荣耀, 582.0万
【超级小桀】桀哥如何看待《塞尔达传说：王国之泪》偷跑？小博主直播或者发视频是不是处罚不到？,792827,981,2023/5/2 18:46,2.0万,1829,1790,3386,神奇的维C, 28.9万
疯狂蒂厨四周年井蒂蒂实录,108527,1096,2023/5/1 19:58,8243,4537,746,711,0度寒风,245
【睡前消息584】张伯礼+张仲景，南阳不想输襄阳,337854,7557,2023/5/2 20:00,2.4万,1.4万,3866,2536,马督工, 164.4万
咱就是说，这是纯友谊，还是真爱情？,3834937,1505,2023/4/28 22:46,44.6万,1.4万,8.9万,8357,没问题蚊西, 13.5万
《别拿原版bgm 骗 我！》,1574224,944,2023/4/28 23:50,8.4万,6555,1.4万,4424,一树一笙箫,425
当我把《夜曲》旋律倒过来写成一首新歌《日曲》，不一样的感觉哦！,440588,828,2023/5/2 18:00,2.3万,1.4万,5611,2667,king金鑫-音乐制作, 21.5万
鉴别网络未知事物335：2种你可能见过，但不知道是什么的奇怪物体,4464311,297,2023/4/26 19:10,9.5万,755,3332,118,无穷小勺子, 6.3万
圆脸正确变美思路 明星化妆师在线改妆,521242,425,2023/5/2 17:48,3.6万,989,1.5万,2696,Elvis增增-, 55.3万
老广怎么这么会煲汤！？,354470,1557,2023/5/2 18:00,2.0万,1.0万,2.2万,4246,马蹄厨房, 138.8万
你一定没吃过的饺子馅，1顿30个都不够的烤肉饺子！,308934,44,2023/5/2 14:05,2.7万,614,8830,626,夏叔厨房, 131.3万
20世纪的“哲学王”是谁？【奇葩小国46】,2769225,29580,2023/4/28 11:00,21.0万,10.6万,3.5万,5528,小约翰可汗, 613.4万
第一人称强吻帕姆?,263353,256,2023/5/1 18:14,1.3万,1672,5873,5360,茉莉绿茶少糖, 15.9万
【卢克文工作室】淄博模式，都借鉴起来！,298035,927,2023/5/2 15:29,1.6万,1475,1702,738,卢克文工作室, 345.3万
《明日方舟》EP -The cure,290157,591,2023/5/3 10:52,5.3万,1.5万,1.1万,1604,明日方舟, 538.7万
谷歌翻译20遍【小鬼泰裤辣】配音,407401,578,2023/5/2 14:31,3.8万,1637,6167,5081,不完全变态的迪奥, 16.5万
上《 学 Distance 》,175897,259,2023/5/2 19:32,1.4万,5322,3558,2235,龙大人不喷火, 36.8万
买卖不成仁义在，这台老车真不卖,253925,190,2023/5/3 11:05,2.5万,2203,991,636,招财喵剧组, 16.6万
中国男友在欧洲农村有多受欢迎？大家把他当做大熊猫,322177,1068,2023/5/2 12:00,2.5万,1538,1384,455,马佳PopMatta, 76.9万
清洁游泳池到底有多解压？,5735835,926,2023/4/28 11:37,15.2万,1638,9229,773,全球不知道, 20.8万
地下刀塔《拷打XG回家局 三大槽点令人窒息》,126450,2113,2023/5/3 8:25,7126,5090,652,1543,杰出哥, 8.9万
【原神】看好了，这才是白术的正确玩法！,408236,857,2023/5/3 0:52,3.1万,549,1550,948,覆雪之下--, 95.2万
但凡早发一天，米哈游都得V我50,215598,5987,2023/5/3 11:25,2.3万,1.1万,2085,1090,我牌哪去了, 19.8万
小熊被改造了，玩具熊安全漏洞 #4,391437,5862,2023/5/2 18:43,2.2万,4451,5272,172,鲤鱼Ace, 425.3万
【明日方舟】  W：“就吃了一口饭而已！有这个必要吗！”,227258,356,2023/5/2 17:49,2.4万,3640,5618,2191,柯里里, 8.5万
【崩坏星穹铁道｜野火】百万级录音棚听《野火》可可利亚BOSS战BGM【Hi-Res】,971594,1625,2023/4/30 14:38,5.9万,2.1万,3.4万,1.3万,JLRS-jayfm, 28.4万
李连杰VS周比利格斗解析，载入影史的动作片教科书巅峰对决,351664,1374,2023/5/2 16:37,9055,1253,2030,385,李小龙谜之传人, 21.7万
180买一根牛蹄，胖龙做“虎皮牛蹄”啃着费劲，吃着香！,1114514,2321,2023/5/1 17:40,2.7万,2778,1629,409,胖龙的小生活, 137.3万
"超市打烊前去囤货,1300块钱的帝王蟹半价!",1155463,2293,2023/4/30 18:00,6.0万,6768,2745,1310,小紧张的虫虫, 418.4万
在家从洗面筋开始做了200斤辣条，这回黑作坊彻底坐实了...,947876,439,2023/5/1 12:30,8.1万,3348,3660,449,苟宋本苟, 47.0万
【乐队Live版】星间旅行《崩坏：星穹铁道》OP,491620,947,2023/5/1 12:00,5.4万,1.4万,1.1万,1954,茶理理理子, 162.9万
(oiiaioooooiai)2,1015746,960,2023/4/29 12:00,15.9万,9766,2.8万,5049,浑元Rysn, 318.7万
【明日方舟】缪缪：蒂哥不要啊！ 蒂蒂：让我康康！,161328,99,2023/5/2 13:21,2.0万,1525,4499,713,XBoss-谢泼德ed, 2.8万
从元丰改制谈到唐宋官制的演变，宋神宗为何在北宋九帝中十分特别？【千秋一面|北宋变法】,203821,919,2023/5/2 14:35,1.1万,5083,5047,400,嘉v生宣, 32.8万
咖啡、柠檬茶真的有必要加这么多冰块吗？【鉴定网络热门奶茶视频】,1020724,977,2023/4/30 19:50,3.0万,820,3330,531,萨古的奶茶计划, 53.4万
《所有人给我站一边》,408595,361,2023/5/1 18:27,3.7万,2592,6571,1340,玫瑰拾伍,1571
我能站在这你能吗是什么梗【梗指南】,1445769,3038,2023/5/2 18:47,9.5万,3266,5982,2.0万,梗指南, 365.4万
【Zc】阳第二天，简单吃一点,338423,1065,2023/5/3 12:25,3.5万,3037,1319,975,魔法Zc目录, 251.5万
一个视频看遍全国318个5A景区，你见过什么样的风景？【5A合集第二弹】,351468,2221,2023/5/1 12:27,1.6万,1.0万,2.6万,6221,末末游记, 3.3万
《原神》拾枝杂谈-「卡维：宏愿迢迢」,247982,1262,2023/5/3 12:00,4.2万,4682,3585,661,原神, 1695.2万
星穹铁道开局再梦幻！也解不了米哈游的焦虑~,288394,868,2023/5/2 16:05,3.2万,2640,2209,155,亚食人, 137.7万
《没关系，又合群了一天》,314271,234,2023/4/30 12:18,1.5万,1226,3201,5296,纯风先生,104
再无芥蒂彼此交心，此刻正是连结之时！,710690,750,2023/5/2 18:00,5.4万,9834,5593,1.0万,火影忍者手游情报君, 120.9万
五个人的队伍，真是泰裤辣！！！[原神配音],783539,415,2023/5/1 18:00,8.3万,1541,9288,1500,祈陆hiru, 7.5万
在北京为了吃这顿早茶，特意在边上开了个酒店――冶春,334438,1255,2023/5/2 11:30,1.5万,1327,853,566,真探高文麒, 125.8万
你的贴身学习APP？TA来了！,793728,6134,2023/5/1 20:42,10.1万,7.5万,3.4万,8045,一数,多名up主参与
